Name,Description
"Iterated Prisoners Dilemma","The prisoner's dilemma is a standard example of a game analyzed in game theory that shows why two completely rational individuals might not cooperate, even if it appears that it is in their best interests to do so. It was originally framed by Merrill Flood and Melvin Dresher while working at RAND in 1950. Albert W. Tucker formalized the game with prison sentence rewards and named it "prisoner's dilemma""
Duidoku,"Duidoku is a two-player version of Sudoku. "
"Buttons And Lights","Buttons And Lights is a planning puzzle."
"Lights Out","Lights Out is an electronic game released by Tiger Electronics in 1995."
Barca,"Barca is a recent commercial chess variant. The game was invented by Andrew Caldwell, and appeared in 2011."
Dragonchess,"Dragonchess is a commercial chess variant, first published in 2005. The game is played on a 10 by 10 board, with in addition two side lanes of 3 by 4 squares. Players have the usual chess pieces, two extra pawns, and two dragons."
Stratomic,"Stratomic is a chess variant invented by Robert Montay-Marsais in 1972. The game is played on a 10×10 board with all the standard chess pieces present, and in addition, two nuclea pieces (representing nuclear missiles) and two extra pawns per side. The game brings the concept of modern warfare weaponry to chess."
"Atomic Chess","Atomic chess is a chess variant. Standard rules of chess apply, but all captures result in an "explosion" through which all surrounding white and black pieces other than pawns are removed from play."
"Beirut Chess","Beirut chess is a chess variant invented by Jim Winslow in 1992. The game is played using the standard chess pieces and board, with each side having secretly equipped one of their men with a "bomb"—which can be "detonated" at any time, wiping out all men on surrounding squares along with the bomb carrier."
"Um el-Bil","'Um El-Bil is a two-row mancala-style board game played in Tunisia. Typically it is played in holes in the ground, with camel droppings, shells, or nuts as counters. It was rarely played by young girls. "
Chessence,"Chessence is a chess variant invented by Jim Winslow in 1989. The board is a 6×9 rectangle of squares with eight squares missing. Each player has a king and nine men with initial setup as shown, including three men initially not yet in play at the side of the board. "
"Addi Kul","'Addî Kûl is a capturing game played in Tunisia by men. The board is typically made in the sand, and date seeds, stones, or camel droppings are used as pieces."
El-Mthaltha,"El-Mthaltha is a small game with custodial captures played in Tunisia."
Es-Sig,"Es-Sîg is a race game played by women in Tunisia. It is one of a family of games where players attempt to reach Mecca, before the Ghoula, or witch, carries them back to start. The pieces are usually the women's wedding rings, and the Ghula is represented by a piece of coal."
"Balkan Mancala","This two-row mancala-style game, the name of which has not been preserved, is attested in traveler's accounts and archaeological excavations of the Balkans. "
